vietnamese_name,english_name,type,region,description,ingredients,how_to_eat,fun_fact,,
Bạc Xỉu,White Coffee (Saigon style),White Coffee,South,Saigon-style coffee - mostly hot milk with just a little coffee. Popular with those who want less of a caffeine kick.,"Condensed milk, fresh milk, a small amount of strong coffee, hot water",Drink it hot. It can also be made iced.,The name comes from Cantonese meaning 'white' - referring to the light color from all the milk.,,
Bánh Bèo,Steamed Rice Cakes with Shrimp,Steamed Cakes,Central,"Delicate little rice cakes steamed in small saucers, topped with minced shrimp, crispy pork skin, and scallion oil.","Rice flour, tapioca starch, shrimp, pork skin, scallion oil, fish sauce dip","Pour a tiny bit of fish sauce into the saucer, loosen the edges with a small spoon, then slide the whole cake into your mouth.",The name means 'duckweed' because they resemble tiny floating plants.,,
Bánh Bò,Vietnamese Honeycomb Cake,Sponge Cake,All,"A spongey, chewy cake made with rice flour, coconut milk, sugar, and yeast. It has a characteristic honeycomb texture inside.","Rice flour, tapioca starch, coconut milk, sugar, yeast, pandan leaves","Tear it apart with your fingers. It's chewy, slightly sweet, and perfect with coffee.",The holes inside should form a uniform honeycomb pattern - that's a sign of proper fermentation.,,
Bánh Bột Lọc,Huế Tapioca Dumplings (clear),Tapioca Dumplings,Central,"Huế tapioca dumplings - the same as bánh lọc. They're clear, chewy, and filled with shrimp and pork.","Tapioca flour, shrimp, ground pork, scallions, fish sauce dip",The chewy texture is the whole point. Dip them in fish sauce with chili.,They can be wrapped in banana leaves or served 'naked'.,,
Bánh Căn,Mini Pancakes with Quail Eggs,Mini Pancakes,Central,"Central Vietnam's version of mini pancakes - cooked in clay molds over charcoal. They're lighter and airier than bánh khọt, often topped with quail eggs.","Rice flour, quail eggs, green onions, shrimp, fish sauce dip",Eat immediately while hot. Dip in fish sauce with pickled green papaya.,"These are cooked in special clay molds that give them a distinctive texture - crispy outside, soft inside.",,
Bánh Căn Nha Trang,Nha Trang Mini Pancakes with Grilled Pork,Mini Pancakes,Nha Trang,"The Nha Trang version of bánh căn - tiny pancakes cooked in clay molds and served with grilled pork, meatballs, scallion oil, and fish sauce.","Rice flour, quail eggs, grilled pork skewers, pork meatballs, scallion oil, fish sauce dip, green mango, herbs",Eat the pancakes with the grilled pork and meatballs. Dip everything in the fish sauce with green mango.,Nha Trang's version is famous for its grilled pork accompaniment - it's more substantial than other bánh căn.,,
Bánh Căn Phan Rang,Phan Rang Mini Pancakes with Quail Eggs,Mini Pancakes,Phan Rang,"A Phan Rang specialty - mini pancakes cooked in clay molds, topped with quail eggs, and served with a fermented fish sauce.","Rice flour, quail eggs, green onions, scallion oil, fermented fish sauce","Dip them in the fermented fish sauce. Eat them with green mango, cucumber, and herbs.",Phan Rang is known for having the best fermented fish sauce in Vietnam - this dish showcases it.,,
Bánh Canh,Thick Tapioca Noodle Soup,Thick Noodle Soup,All,"A soup with thick, chewy noodles made from tapioca or rice flour. There are many regional variations.","Thick tapioca noodles, broth, various toppings, herbs",The noodles are chewy and the broth is thick - eat it with a spoon and chopsticks.,"The noodles are made from tapioca, which gives them a distinctive, chewy, and slippery texture - you'll either love it or hate it.",,
Bánh Canh Cua,Thick Noodle Soup with Crab,Crab Noodle Soup,South,"A southern specialty - thick tapioca noodles in a rich crab broth with crab meat, pork, and quail eggs.","Fresh crab, pork broth, thick tapioca noodles, crab meat, ground pork, quail eggs, fried shallots, herbs","Add a fresh crab claw if you're feeling fancy. Squeeze in some lime, add chili, and toss in lots of herbs.",This is considered a luxury street food - the crab makes it more expensive than regular bánh canh.,,
Bánh Chay,Northern Vegetarian Rice Cakes in Ginger Syrup,Vegetarian Cakes,North,"Similar to bánh trôi, but these are filled with a mung bean paste and served in a warm, sweet ginger syrup.","Glutinous rice flour, mung bean paste, ginger syrup, coconut milk","Eat them in a bowl with the syrup. They're warm, sweet, and comforting.",These are also eaten during the Tết Hàn Thực festival - they're the companion dish to bánh trôi.,,
Bánh Chưng,Square Sticky Rice Cake (Tet holiday),Sticky Rice Cake,North,"The northern Tết specialty - a square glutinous rice cake filled with mung bean and pork, wrapped in dong leaves. It represents the Earth.","Glutinous rice, mung bean paste, fatty pork, black pepper, dong leaves",Slice it into pieces and eat it with pickled onions. It can also be fried.,Making bánh chưng is a ritual - families gather to wrap them and boil them for 10+ hours before Tết.,,
Bánh Cống,Deep-fried Shrimp and Taro Cakes (Soc Trang),Shrimp Cakes,Soc Trang,"A Khmer-influenced, deep-fried shrimp cake from Soc Trang province. It's a mashed taro and mung bean cake topped with a whole shrimp and fried until crispy.","Mashed taro, mung bean paste, whole shrimp, tapioca flour, salt, pepper",Eat it with a sweet-sour fish sauce and pickled carrots and fresh herbs. The shrimp head is edible and crispy.,This is a Khmer Cambodian influence in the Mekong Delta - it's similar to the Cambodian 'num kong'.,,
Bánh Cuốn,Steamed Rice Rolls with Pork,Steamed Rolls,North,"Delicate steamed rice rolls filled with minced pork and wood ear mushrooms, topped with crispy fried shallots. Served with Vietnamese sausage and fish sauce dip.","Rice flour batter, ground pork, wood ear mushrooms, shallots, Vietnamese sausage, cucumber, bean sprouts, fresh herbs, fish sauce dip","Dip each roll into fish sauce, add fresh herbs and cucumber.",Making bánh cuốn requires incredible skill - the rice sheet must be paper-thin but not tear when rolling.,,
